MailBoxID,KeyNumber
1000 ,1A1BC9O
1001 ,2U9NDY3
1002 ,8GYUKIU
1003 ,1A1B23O
1004 ,2U9N324
1005 ,8G9KKIU
1006 ,1A29C65
1007 ,2U96255
1008 ,8GY75IU
1009 ,1A2559O
1010 ,2U52526
1011 ,8G2955U
1012 ,16H888O
1013 ,2U9NNH5
1014 ,8255KIU
1015 ,1880C9O
1016 ,2U92HH8
1017 ,86DUKIU
1018 ,1A1J69O
1019 ,2U9TRY9
1020 ,8276KIU
1021 ,1A1209O
1022 ,2U9N260
1023 ,8G07KIU
1024 ,1A25545
1025 ,2U52567
1026 ,8A2945I
1027 ,12H808U
1028 ,1U9NHT
1029 ,34555KIU
1030 ,183U78M
1031 ,234PHH8
1032 ,86DURGU
1033 ,34T9N324
1034 ,8GFKIU
1035 ,1A29C45
1036 ,2U7N32G
1037 ,8G10KIUT
1038 ,1B29C6Q
